Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.6224		0.9255		0.0000		0.2167		0.00050000
2		0.7735		0.6911		0.0000		0.2882		0.00049775
3		0.5948		0.5596		0.0000		0.3621		0.00049550
4		0.4977		0.4927		0.0000		0.3794		0.00049324
5		0.4444		0.4470		0.0000		0.4260		0.00049099
6		0.4066		0.4150		0.0000		0.4666		0.00048874
7		0.3784		0.3929		0.0000		0.4891		0.00048648
8		0.3626		0.3754		0.0000		0.4939		0.00048422
9		0.3434		0.3876		0.0000		0.4815		0.00048196
10		0.3319		0.3546		0.0000		0.5220		0.00047970
11		0.3233		0.3520		0.0000		0.5243		0.00047744
12		0.3154		0.3572		0.0000		0.5144		0.00047518
13		0.3061		0.3351		0.0000		0.5416		0.00047292
14		0.2969		0.3396		0.0000		0.5334		0.00047065
15		0.2941		0.3388		0.0000		0.5408		0.00046839
16		0.2874		0.3298		0.0000		0.5537		0.00046612
17		0.2827		0.3233		0.0000		0.5631		0.00046385
18		0.2768		0.3391		0.0000		0.5685		0.00046158
19		0.2725		0.3341		0.0000		0.5691		0.00045931
20		0.2692		0.3301		0.0000		0.5620		0.00045704
21		0.2661		0.3181		0.0000		0.5781		0.00045477
22		0.2626		0.3162		0.0000		0.5806		0.00045249
23		0.2569		0.3331		0.0000		0.5690		0.00045022
24		0.2569		0.3187		0.0000		0.5914		0.00044794
25		0.2514		0.3254		0.0000		0.5708		0.00044566
26		0.2529		0.3040		0.0000		0.6017		0.00044338
27		0.2434		0.3177		0.0000		0.5829		0.00044110
28		0.2486		0.3226		0.0000		0.5886		0.00043882
29		0.2385		0.2970		0.0000		0.5999		0.00043653
30		0.2373		0.3152		0.0000		0.5971		0.00043425
31		0.2401		0.3046		0.0000		0.6064		0.00043196
32		0.2331		0.3066		0.0000		0.6011		0.00042968
33		0.2307		0.3097		0.0000		0.6002		0.00042739
34		0.2361		0.3012		0.0000		0.6071		0.00042510
35		0.2293		0.2932		0.0000		0.6164		0.00042281
36		0.2298		0.2988		0.0000		0.6205		0.00042051
37		0.2268		0.3016		0.0000		0.6160		0.00041822
38		0.2243		0.3015		0.0000		0.6212		0.00041592
39		0.2225		0.3252		0.0000		0.5985		0.00041362
40		0.2238		0.3126		0.0000		0.6130		0.00041133
41		0.2178		0.2949		0.0000		0.6201		0.00040903
42		0.2160		0.3266		0.0000		0.5817		0.00040672
43		0.2244		0.2928		0.0000		0.6181		0.00040442
44		0.2107		0.2888		0.0000		0.6188		0.00040212
45		0.2122		0.3137		0.0000		0.6159		0.00039981
46		0.2177		0.2999		0.0000		0.6143		0.00039750
47		0.2114		0.3022		0.0000		0.6196		0.00039520
48		0.2068		0.2934		0.0000		0.6223		0.00039288
49		0.2067		0.2915		0.0000		0.6418		0.00039057
50		0.2060		0.2888		0.0000		0.6382		0.00038826
51		0.2116		0.2826		0.0000		0.6372		0.00038594
52		0.2026		0.3154		0.0000		0.6011		0.00038363
53		0.2078		0.3057		0.0000		0.6207		0.00038131
54		0.2039		0.2834		0.0000		0.6443		0.00037899
55		0.2029		0.2789		0.0000		0.6393		0.00037667
56		0.2033		0.2970		0.0000		0.6330		0.00037435
57		0.1979		0.2976		0.0000		0.6268		0.00037202
58		0.2008		0.2929		0.0000		0.6368		0.00036970
59		0.2004		0.3027		0.0000		0.5979		0.00036737
60		0.2008		0.2928		0.0000		0.6358		0.00036504
61		0.2083		0.2985		0.0000		0.6351		0.00036271
62		0.1994		0.2856		0.0000		0.6541		0.00036038
63		0.1913		0.2813		0.0000		0.6565		0.00035804
64		0.1896		0.3250		0.0000		0.6194		0.00035571
65		0.1988		0.2844		0.0000		0.6381		0.00035337
66		0.1907		0.2885		0.0000		0.6518		0.00035103
67		0.1955		0.3097		0.0000		0.6231		0.00034869
68		0.1929		0.2809		0.0000		0.6492		0.00034635
69		0.1922		0.2839		0.0000		0.6450		0.00034400
70		0.1891		0.2970		0.0000		0.6389		0.00034165
71		0.1856		0.2831		0.0000		0.6552		0.00033931
72		0.1921		0.3765		0.0000		0.5686		0.00033696
73		0.2023		0.2969		0.0000		0.6386		0.00033460
74		0.1864		0.3212		0.0000		0.6339		0.00033225
75		0.1858		0.2867		0.0000		0.6386		0.00032990
76		0.1849		0.2835		0.0000		0.6507		0.00032754
77		0.1913		0.2952		0.0000		0.6225		0.00032518
78		0.1881		0.2966		0.0000		0.6313		0.00032282
79		0.1834		0.2815		0.0000		0.6515		0.00032045
80		0.1801		0.2992		0.0000		0.6482		0.00031809
81		0.1863		0.2867		0.0000		0.6493		0.00031572
82		0.1860		0.2786		0.0000		0.6458		0.00031335
83		0.1858		0.2770		0.0000		0.6464		0.00031098
84		0.1765		0.2764		0.0000		0.6589		0.00030861
85		0.1789		0.2831		0.0000		0.6490		0.00030624
86		0.1805		0.2828		0.0000		0.6520		0.00030386
87		0.1866		0.2796		0.0000		0.6413		0.00030148
88		0.1815		0.2768		0.0000		0.6355		0.00029910
89		0.1771		0.2838		0.0000		0.6547		0.00029671
90		0.1747		0.2808		0.0000		0.6600		0.00029433
91		0.1784		0.3098		0.0000		0.6372		0.00029194
92		0.1847		0.2949		0.0000		0.6377		0.00028955
93		0.1737		0.2862		0.0000		0.6553		0.00028716
94		0.1713		0.2908		0.0000		0.6461		0.00028477
95		0.1722		0.2832		0.0000		0.6499		0.00028237
96		0.1737		0.2837		0.0000		0.6385		0.00027997
97		0.1884		0.2825		0.0000		0.6556		0.00027757
98		0.1737		0.2763		0.0000		0.6614		0.00027517
99		0.1699		0.2783		0.0000		0.6547		0.00027276
100		0.1708		0.2871		0.0000		0.6596		0.00027035
101		0.1715		0.2847		0.0000		0.6412		0.00026794
102		0.1742		0.2764		0.0000		0.6517		0.00026553
103		0.1673		0.2876		0.0000		0.6598		0.00026312
104		0.1693		0.2978		0.0000		0.6473		0.00026070
