Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.6729		0.9708		0.0000		0.2332		0.00050000
2		0.8047		0.7070		0.0000		0.2840		0.00049775
3		0.6297		0.5890		0.0000		0.3367		0.00049550
4		0.5429		0.5279		0.0000		0.3903		0.00049324
5		0.4873		0.4889		0.0000		0.4030		0.00049099
6		0.4523		0.4446		0.0000		0.4159		0.00048874
7		0.4259		0.4358		0.0000		0.4404		0.00048648
8		0.4078		0.4075		0.0000		0.4635		0.00048422
9		0.3905		0.3964		0.0000		0.4802		0.00048196
10		0.3771		0.3865		0.0000		0.4929		0.00047970
11		0.3647		0.3931		0.0000		0.4782		0.00047744
12		0.3550		0.3727		0.0000		0.5079		0.00047518
13		0.3490		0.3746		0.0000		0.5033		0.00047292
14		0.3369		0.3690		0.0000		0.5191		0.00047065
15		0.3351		0.3616		0.0000		0.5282		0.00046839
16		0.3276		0.3600		0.0000		0.5254		0.00046612
17		0.3250		0.3531		0.0000		0.5397		0.00046385
18		0.3208		0.3486		0.0000		0.5399		0.00046158
19		0.3160		0.3514		0.0000		0.5462		0.00045931
20		0.3098		0.3604		0.0000		0.5335		0.00045704
21		0.3073		0.3444		0.0000		0.5307		0.00045477
22		0.3022		0.3569		0.0000		0.5315		0.00045249
23		0.3014		0.3356		0.0000		0.5548		0.00045022
24		0.2985		0.3371		0.0000		0.5427		0.00044794
25		0.2945		0.3314		0.0000		0.5585		0.00044566
26		0.2915		0.3419		0.0000		0.5490		0.00044338
27		0.2862		0.3325		0.0000		0.5666		0.00044110
28		0.2846		0.3337		0.0000		0.5549		0.00043882
29		0.2815		0.3384		0.0000		0.5584		0.00043653
30		0.2808		0.3282		0.0000		0.5749		0.00043425
31		0.2780		0.3232		0.0000		0.5766		0.00043196
32		0.2773		0.3386		0.0000		0.5700		0.00042968
33		0.2767		0.3263		0.0000		0.5821		0.00042739
34		0.2730		0.3166		0.0000		0.5817		0.00042510
35		0.2669		0.3126		0.0000		0.5917		0.00042281
36		0.2641		0.3265		0.0000		0.5815		0.00042051
37		0.2688		0.3236		0.0000		0.5827		0.00041822
38		0.2631		0.3171		0.0000		0.5813		0.00041592
39		0.2611		0.3136		0.0000		0.5904		0.00041362
40		0.2596		0.3231		0.0000		0.5830		0.00041133
41		0.2588		0.3141		0.0000		0.5916		0.00040903
42		0.2552		0.3280		0.0000		0.5582		0.00040672
43		0.2570		0.3205		0.0000		0.5920		0.00040442
44		0.2531		0.3194		0.0000		0.5877		0.00040212
45		0.2505		0.3202		0.0000		0.5863		0.00039981
46		0.2503		0.3344		0.0000		0.5820		0.00039750
